Country,State,Year,"Physics (UOM:%(Percentage)), Scaling Factor:1","Chemistry (UOM:%(Percentage)), Scaling Factor:1","Biology (UOM:%(Percentage)), Scaling Factor:1","Computer (UOM:%(Percentage)), Scaling Factor:1","Mathematics (UOM:%(Percentage)), Scaling Factor:1","Language (UOM:%(Percentage)), Scaling Factor:1","Geography (UOM:%(Percentage)), Scaling Factor:1","Home Science (UOM:%(Percentage)), Scaling Factor:1","Psychology (UOM:%(Percentage)), Scaling Factor:1","Total Number Of Higher Secondary Schools (UOM:Number), Scaling Factor:1","Percentage Of Schools With Integrated Science Lab At Secondary Stage (UOM:%(Percentage)), Scaling Factor:1","Total Number Of Secondary Schools (UOM:Number), Scaling Factor:1"
India,Andaman And Nicobar Islands,"Financial Year (Apr - Mar), 2017",53.85,55.38,55.38,63.08,32.31,6.15,35.38,30.77,1.54,65,50.86,116
India,Andhra Pradesh,"Financial Year (Apr - Mar), 2017",18.96,18.79,16.66,11.25,4.05,2.94,1.66,1.49,1.41,2347,33.34,12611
India,Arunachal Pradesh,"Financial Year (Apr - Mar), 2017",38.51,37.27,37.89,40.37,13.04,8.7,17.39,4.35,4.35,161,67.32,462
India,Assam,"Financial Year (Apr - Mar), 2017",17.24,17.46,16.78,20.42,6.91,4.18,6.91,1.96,2.0,2199,18.15,8641
India,Bihar,"Financial Year (Apr - Mar), 2017",26.24,25.38,24.94,27.85,9.92,7.01,9.94,8.85,8.68,4768,33.94,8077
India,Chandigarh,"Financial Year (Apr - Mar), 2017",73.68,73.68,71.58,92.63,64.21,33.68,22.11,42.11,14.74,95,92.17,166
India,Chhattisgarh,"Financial Year (Apr - Mar), 2017",29.53,29.17,27.2,27.8,9.83,5.55,6.91,2.04,1.68,4111,66.55,6691
India,Delhi,"Financial Year (Apr - Mar), 2017",55.01,55.41,53.92,75.75,57.43,23.96,25.12,41.24,8.93,1736,76.45,2110
India,Goa,"Financial Year (Apr - Mar), 2017",63.56,65.25,64.41,81.36,11.02,11.86,9.32,4.24,6.78,118,91.43,420
India,Gujarat,"Financial Year (Apr - Mar), 2017",37.57,37.68,37.03,53.59,17.11,13.26,10.28,8.22,8.87,7264,55.34,11157
India,Haryana,"Financial Year (Apr - Mar), 2017",47.84,47.75,43.51,73.71,29.53,15.96,18.32,12.95,5.04,4781,76.42,8019
India,Himachal Pradesh,"Financial Year (Apr - Mar), 2017",33.84,33.88,32.76,61.1,11.88,5.46,6.14,2.81,1.65,2491,47.73,4104
India,Jammu And Kashmir,"Financial Year (Apr - Mar), 2017",61.67,61.77,58.88,60.28,10.88,6.51,8.56,3.35,2.05,1051.48637455271103840750,62.06,4181.49232670961831552750
India,Jharkhand,"Financial Year (Apr - Mar), 2017",40.55,40.36,38.95,42.34,24.34,13.0,16.53,10.83,10.83,1561,51.97,4672
India,Karnataka,"Financial Year (Apr - Mar), 2017",14.31,14.07,14.17,15.43,5.1,4.38,1.86,0.98,1.2,4996,33.81,16271
India,Kerala,"Financial Year (Apr - Mar), 2017",65.27,64.57,60.38,75.15,22.64,14.84,5.66,2.88,3.82,2986,67.72,4705
India,Ladakh,"Financial Year (Apr - Mar), 2017",61.67,61.77,58.88,60.28,10.88,6.51,8.56,3.35,2.05,23.51362544728896159250,62.06,93.50767329038168447250
